"grdc_no","varSeas_stl","varInterannual_stl","varRem_stl","varSeas_clas","varInterannual_clas","varRem_clas","varSeas_fourier","varInterannual_fourier","varRem_fourier"
5135100,NA,NA,NA,0.321536883253804,0.0390667808561997,0.639100444177466,NA,NA,NA
5135500,NA,NA,NA,NA,NA,NA,NA,NA,NA
5137200,NA,NA,NA,0.133845609701047,0.256978398654695,0.585965559565744,NA,NA,NA
5137400,NA,NA,NA,NA,NA,NA,NA,NA,NA
5137600,NA,NA,NA,NA,NA,NA,NA,NA,NA
5141050,NA,NA,NA,0.225662871005793,0.112254141891411,0.640438305911847,NA,NA,NA
5141150,NA,NA,NA,0.158621399212472,0.284575070950321,0.517169042396119,NA,NA,NA
5141201,NA,NA,NA,NA,NA,NA,NA,NA,NA
5141250,0.29385719816353,0.216617379770254,0.382046959275619,0.244082005231394,0.168585050189054,0.582269836882821,0.299660576120212,0.223080489212159,0.477258934667627
5141300,NA,NA,NA,NA,NA,NA,NA,NA,NA
5141350,0.535569990859254,0.190413188825917,0.222396080065205,0.448892791436575,0.0831152601461698,0.458921028141988,0.517366986892086,0.276541397793992,0.206091615313921
5141400,0.378349019625614,0.205426733688279,0.342255412398398,0.334449513185919,0.105100180204111,0.549347585516489,0.365817272646882,0.194831672306894,0.439351055046219
5141450,NA,NA,NA,NA,NA,NA,NA,NA,NA
5141500,0.248879128829616,0.12839235609643,0.553076134658333,0.180752617842915,0.0659951424611657,0.738117638221635,0.234555553966166,0.0792045138143285,0.686239932219495
5141750,0.137658115161017,0.285138675417313,0.422635988614029,0.115847532649978,0.154996547114702,0.653427776114596,0.153951032407449,0.379157349565467,0.466891618027088
5142550,NA,NA,NA,NA,NA,NA,NA,NA,NA
5142600,NA,NA,NA,0.151759333952954,0.172233750752168,0.593743790363358,NA,NA,NA
5142650,0.245676700294534,0.189509911080787,0.512658521008758,0.208667507934573,0.0782494739447815,0.698096830644448,0.243240585343423,0.15582107459235,0.600938340064205
5142700,NA,NA,NA,0.394053351328036,0.113564329988812,0.472611919110431,NA,NA,NA
5148200,NA,NA,NA,NA,NA,NA,NA,NA,NA
5148250,NA,NA,NA,NA,NA,NA,NA,NA,NA
5148800,NA,NA,NA,NA,NA,NA,NA,NA,NA
5148850,NA,NA,NA,NA,NA,NA,NA,NA,NA
5171100,0.0292384226167402,0.227594382233127,0.639180293401984,0.0297939150550823,0.0261407511999316,0.940061308660054,0.0296660299187228,0.0728054052123812,0.897528564868963
5171200,0.0251721534380753,0.25088012191994,0.615297600861476,0.0252952974515383,0.0270287257387082,0.9424949600414,0.0250219403511588,0.0868326335350722,0.888145426113541
5171300,0.0283605896120318,0.224316384157441,0.636334033055382,0.0289482701863896,0.0185775551619971,0.948719893989819,0.0285951633283518,0.0569709320789431,0.914433904593641
5171400,0.0383722850820077,0.223572978470348,0.635698467970596,0.0389387183912704,0.0221414935738709,0.932821380879564,0.0379935466927376,0.061491395459072,0.900515057848186
5171500,0.0245047914609706,0.242230988821778,0.626608431595596,0.02455344851181,0.0184820360969851,0.95284914511565,0.0245155007387705,0.0499345418459633,0.925549957415266
5171600,0.0671671091027709,0.171437308763308,0.683347937542857,0.07316415334347,0.00939742231004015,0.913684716908595,0.0671642536285666,0.043531857652409,0.889303888719047
5221100,NA,NA,NA,NA,NA,NA,NA,NA,NA
5222500,0.271548275375957,0.287959458444069,0.388831412493379,0.191169783937891,0.193740876927697,0.585738257638027,0.236888670294938,0.323943687803319,0.43916764190172
5222550,NA,NA,NA,NA,NA,NA,NA,NA,NA
5222600,NA,NA,NA,NA,NA,NA,NA,NA,NA
5222700,NA,NA,NA,NA,NA,NA,NA,NA,NA
5222800,NA,NA,NA,NA,NA,NA,NA,NA,NA
5223100,NA,NA,NA,0.300873461336166,0.053984565884077,0.638814022475911,NA,NA,NA
5224200,NA,NA,NA,NA,NA,NA,NA,NA,NA
5224305,NA,NA,NA,NA,NA,NA,NA,NA,NA
5224500,NA,NA,NA,0.226397362244053,0.181550653635551,0.585552340708501,NA,NA,NA
5224600,NA,NA,NA,NA,NA,NA,NA,NA,NA
5225200,NA,NA,NA,NA,NA,NA,NA,NA,NA
5225300,NA,NA,NA,NA,NA,NA,NA,NA,NA
5225500,NA,NA,NA,NA,NA,NA,NA,NA,NA
5225600,NA,NA,NA,NA,NA,NA,NA,NA,NA
5226055,NA,NA,NA,NA,NA,NA,NA,NA,NA
5226100,NA,NA,NA,NA,NA,NA,NA,NA,NA
5226150,NA,NA,NA,0.346155085293408,0.137201734336145,0.52293623042296,NA,NA,NA
5226200,NA,NA,NA,NA,NA,NA,NA,NA,NA
5226300,0.37779199558604,0.106980838535989,0.409132891994361,0.308794854339134,0.0804588449758797,0.583418668419568,0.391923403426486,0.129909185640476,0.478167410933025
5226400,0.199230865197336,0.219856236900408,0.477845860620746,0.164996112765339,0.0706357691477455,0.738185356439463,0.19290458462939,0.209778162335352,0.597317253035258
5226500,NA,NA,NA,0.398696360574094,0.0486491350872186,0.535990970885673,NA,NA,NA
5226600,NA,NA,NA,NA,NA,NA,NA,NA,NA
5226700,NA,NA,NA,NA,NA,NA,NA,NA,NA
5226800,NA,NA,NA,NA,NA,NA,NA,NA,NA
5226850,NA,NA,NA,NA,NA,NA,NA,NA,NA
5226950,NA,NA,NA,NA,NA,NA,NA,NA,NA
5231700,0.0940083493722365,0.203171435538,0.592246334601624,0.104442489151901,0.0828603098383685,0.802666734945685,0.0970507206937735,0.20303257408072,0.699916705225504
5473152,0.144641195932707,0.136996180485275,0.653103021212209,0.125974444549744,0.0187404167783502,0.842238794125541,0.117679386379007,0.062876924958247,0.819443688662781
5473202,NA,NA,NA,NA,NA,NA,NA,NA,NA
5654110,NA,NA,NA,NA,NA,NA,NA,NA,NA
5654340,NA,NA,NA,NA,NA,NA,NA,NA,NA
5654550,NA,NA,NA,NA,NA,NA,NA,NA,NA
5657500,NA,NA,NA,NA,NA,NA,NA,NA,NA
5658620,NA,NA,NA,NA,NA,NA,NA,NA,NA
5732100,0.0737598039898169,0.12664060088327,0.688580811307005,0.0978978690327196,0.00300641864415559,0.8984264140535,0.0886369479338817,0.0136372561955145,0.897725795870609
5863030,0.13851546236192,0.136376948582473,0.646989638009494,0.0777547155201464,0.0300803099618836,0.894369478050591,0.137905785043632,0.0592051676401098,0.802889047316257
5863050,NA,NA,NA,0.183341830330878,0.450803306368092,0.298429416971745,NA,NA,NA
5863110,0.0857204461923136,0.212520508404047,0.594111150078928,0.0661014655185635,0.0465078057919877,0.879226553815977,0.0879248563494242,0.109002743126577,0.803072400524023
5863120,0.202773488111699,0.512134648004711,0.18562961368229,0.146611279621965,0.452926814748706,0.287584149850263,0.193924537550256,0.620849004683616,0.185226457766123
5863150,0.118580866663246,0.181605697683538,0.602243681649512,0.0773808470888979,0.019809073074359,0.901732294532106,0.122167964509974,0.0736376333743077,0.804194402115728
5863200,0.0561847693297591,0.662605650046062,0.175038365853612,0.0688712206508118,0.504344839827081,0.326069310410499,0.0633067722500009,0.74304351258479,0.193649715164935
5863210,0.271442920396343,0.408661850964756,0.225220916718863,0.228551425521146,0.373704334629072,0.367003129163673,0.282873512210238,0.484877631196143,0.232248856593381
5864200,0.173543301762186,0.119376324718489,0.631005619363575,0.0974847984613925,0.0192551612754314,0.882016142106787,0.164503779861444,0.0645348734604467,0.770961346678106
5864210,0.141099602383199,0.164476986105369,0.595389075927209,0.0757402133168505,0.0241053924290405,0.896496834682829,0.134653053313083,0.0654011278845066,0.799945818802403
