"gauge_id","varSeas_stl","varInterannual_stl","varRem_stl","varSeas_clas","varInterannual_clas","varRem_clas"
"ID_01",0.210603645873476,0.187221286735363,0.502564304957225,0.231417600410965,0.0301566926798135,0.717020518544733
"ID_02",0.208725092962276,0.177420555198065,0.51126608729337,0.230980320436109,0.0243204425601534,0.725814229909115
"ID_03",0.200854516792102,0.182787900313507,0.514837489360733,0.223220779276382,0.0246073234318535,0.734371870178008
"ID_04",0.192361188687009,0.176602115790877,0.528300912209598,0.212621225216242,0.0205459593103529,0.751888353619445
"ID_05",0.212726329984914,0.179054218160707,0.507628647507234,0.232806380417831,0.0231243623060588,0.728388997937937
"ID_06",0.236208232102401,0.180114579396625,0.486311814392328,0.257547234447721,0.0287883967768809,0.697535693270333
"ID_07",0.268628458192181,0.175014180973638,0.472018665007341,0.274762283867118,0.024392746379371,0.690032357784937
"ID_08",0.294891509310804,0.171144755415141,0.454755314233246,0.303326892181567,0.025642748699762,0.658652537639013
"ID_09",0.267733797938535,0.170681700169321,0.473892881155989,0.280427767895541,0.0238079275585081,0.68471628715976
"ID_10",0.163900217949054,0.176806661106491,0.545350786623486,0.185643914554052,0.0254343178515331,0.773847292880498
"ID_11",0.322322223245832,0.163480556656738,0.422988696958691,0.352555077298394,0.0276002132412606,0.604320187689249
"ID_12",0.122710357994616,0.153442107151609,0.60207700769371,0.148714881759978,0.0193635425750147,0.820641042831343
"ID_13",0.205334506063236,0.214272720713955,0.468443936620918,0.226902362424007,0.0543282433619821,0.689387579315779
"ID_14",0.204893628653896,0.172359736293949,0.522845373487258,0.22118174514807,0.0176770588377776,0.750715298879149
"ID_15",0.232671948090745,0.176174483336352,0.498568439302425,0.245825257033209,0.022863442371989,0.720493448434579
"ID_16",0.238172653765199,0.170144498202185,0.48073740559316,0.27245412817277,0.0219683653542566,0.69179078127643
"ID_17",0.162538691009141,0.26904767405272,0.461363611853303,0.177926084974763,0.112969183866058,0.684784472377046
"ID_18",0.232128006152487,0.171775569438819,0.490872872463609,0.262129861536609,0.0255708158393248,0.69686959500281
"ID_19",0.206073846838999,0.186202744348311,0.501477407377442,0.221798796046722,0.0282603100408334,0.73392318852596
"ID_20",0.327761445469066,0.148499665820444,0.422846919780671,0.343885344061338,0.0255432430037842,0.615770364184447
"ID_21",0.165619444071472,0.174375329590195,0.540678368418028,0.191957771326968,0.0174568429019571,0.780028464362855
