"","ID","MAT","Tcold","Thot","Tmon10","MAP","Pdry","Psdry","Pwdry","Pswet","Pwwet","totalSummerP","totalWinterP","totalP","Pthreshold","KG_zone1","KG_zone2","KG_zone3","KG_zone"
"1",10100000,20.9364213905489,19.9159911366489,21.4813042486036,12,1985.16911196911,109.514285714286,165.728571428571,109.514285714286,222.389961389961,193.302316602317,1129.59189189189,855.577220077221,1985.16911196911,55.8728427810979,"A","f","","Af"
"2",10200000,25.922561788806,24.9029741040166,26.4170726123869,12,2512.11398963731,104.953367875648,209.145077720207,104.953367875648,278.093264248705,275.414507772021,1523.22797927461,988.886010362695,2512.11398963731,65.845123577612,"A","f","","Af"
"3",10300000,25.7041866311199,24.6900239709305,26.2079006613117,12,2580.39726027397,104.095890410959,220,104.095890410959,280.876712328767,291.178082191781,1569.68493150685,1010.71232876712,2580.39726027397,65.4083732622399,"A","f","","Af"
"4",10500000,25.884402817267,24.8812264230516,26.3900084071689,12,2600.22777777778,114.216666666667,214.505555555556,114.216666666667,279.194444444444,291.788888888889,1542.16666666667,1058.06111111111,2600.22777777778,65.7688056345339,"A","f","","Af"
"5",10800000,25.6869872842131,24.7178686432919,26.1976992073706,12,2544.8813559322,101.762711864407,217.762711864407,101.762711864407,283.016949152542,281.406779661017,1555.15254237288,989.728813559323,2544.8813559322,65.3739745684263,"A","f","","Af"
"6",10900000,25.6869872842131,24.7178686432919,26.1976992073706,12,2544.8813559322,101.762711864407,217.762711864407,101.762711864407,283.016949152542,281.406779661017,1555.15254237288,989.728813559323,2544.8813559322,65.3739745684263,"A","f","","Af"
"7",10910000,25.7005491700616,24.7517432479171,26.2157499983504,12,2539.65765765766,97.1441441441441,218.855855855856,97.1441441441441,288.693693693694,277.396396396396,1571.0990990991,968.558558558558,2539.65765765766,65.4010983401233,"A","f","","Af"
"8",11400000,21.6011410684936,20.5922680080703,22.1397225536708,12,2064.59156344158,110.106461332441,172.040508871778,110.106461332441,230.080348175427,205.052561098092,1185.15969199866,879.431871442919,2064.59156344158,57.2022821369872,"A","f","","Af"
"9",11444900,25.4558947439257,24.3509186255304,26.0099564131938,12,2965.86842105263,205.375,205.375,222.345394736842,288.782894736842,313.444078947368,1374.98684210526,1590.88157894737,2965.86842105263,64.9117894878513,"A","f","","Af"
"10",11450000,25.4660277617741,24.3651116026341,26.0194527660208,12,2965.49511400651,206.074918566775,206.074918566775,221.85342019544,288.768729641694,313.114006514658,1377.2996742671,1588.19543973941,2965.49511400651,64.9320555235483,"A","f","","Af"
